Tissue,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver
Mouse,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob,ob
Time,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240
Pck1,1,1.291850249,0.812649967,1.220911278,1.157960688,1.054425516,1.041965004,1.12598375,1.05300961,1.144125532,1.173788403,1.010762325,1.045104864,1.134871971,1.196276795,1.259122191,1.362696929,1.079721225,0.895393333,1.196168798,1.202269071,1.165849065,1.212361614,0.654270424,0.56413902,0.63752613,0.783391099,0.752324834,0.658703796,0.74899265,0.528798906,0.811707789,0.630349548,0.674861499,0.728584158,0.945376338,0.9511198,0.910965279,0.632103303,0.584725879,0.864884668,0.669139705,0.670338855,0.77198124,0.604323223,0.631664341,0.508214208
Ldha,1,1.243301602,0.996729529,1.104429789,1.244049038,1.108198924,1.020143057,1.119716177,1.027070886,1.159864892,1.144490781,1.17036696,1.325592994,1.169486163,1.134371127,1.06645697,1.270724583,1.192668449,1.047723395,1.308777626,1.169369725,1.186523194,1.314349974,1.764423298,1.979143627,1.717355725,1.931148926,1.885732036,1.883768859,1.992045505,1.74885728,1.863335166,2.095772463,1.855349014,2.112142915,1.875844617,1.607069961,1.486792921,1.386793029,1.477012757,1.598379858,1.651528416,1.625607523,1.621832417,2.378030686,1.600592328,1.386740199
Gpt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cs,1,1.04585775,0.937418441,1.108899067,1.273678135,1.121403374,1.07242336,1.126350777,1.062311168,1.08124149,1.167626105,1.181064489,1.38966658,0.99705295,1.291979517,1.244696988,1.247424244,1.195735522,1.020118454,1.344596612,1.300423312,1.102380635,1.356467406,1.461446054,1.450352896,1.332388524,1.519891752,1.533012986,1.386165992,1.566908084,1.390624982,1.459943081,1.666194623,1.508620328,1.735309481,1.403135792,1.215687763,1.286231912,1.15057971,1.42370675,1.251827588,1.429932328,1.378789181,1.254944951,1.90595992,1.364597006,1.225150542
Sdha,1,1.015710711,0.715148691,0.919723531,1.068936417,0.868055175,0.796855586,1.06785826,0.81500076,0.875718346,0.81975448,1.021396331,1.218097508,1.017786889,1.051707045,1.061842032,1.048565726,0.943645565,0.98655122,1.30891326,1.19718588,1.097365186,1.30421244,1.059416476,0.953915585,0.854807963,0.942497389,1.016376013,0.956302009,0.950244221,0.818143771,0.995573542,0.945687837,0.901048568,1.189886704,1.164597674,1.051045507,0.915217391,0.753555004,0.897213853,1.007351483,0.811996182,0.906174209,0.951573916,0.756700335,0.849119094,0.785350754
Sdhb,1,1.135378981,0.85801766,1.153506913,1.250540097,1.007507151,1.05440819,1.238747243,1.014324683,1.080407968,1.08286993,1.219443243,1.356218984,1.190168859,1.24802513,1.195315966,1.255586686,1.099867923,1.087968903,1.257226457,1.318308233,1.192605375,1.478003762,1.136702312,1.050138293,0.944521075,1.01798447,1.171017144,0.956698517,1.073717662,0.811169423,1.062919843,0.982278093,0.914344278,1.329940479,1.113234048,1.140336463,1.148709917,0.84933275,1.007709504,1.064872725,0.978425283,1.016774551,0.989765405,1.313675615,1.008035493,0.962567482
Fh1,1,1.295220457,0.941468841,1.036524343,1.152488479,1.084059976,0.977249209,1.160465234,1.072336221,1.07126153,1.078609287,1.037739147,1.21680111,1.261355875,1.045722675,1.212305969,1.194162038,1.009277455,1.12070184,1.213530735,1.316905398,1.15900627,1.418311162,1.02257603,1.021613063,0.996809363,1.108684064,1.142670934,1.000664882,1.09218913,0.863257565,1.213781966,1.073777712,0.899735852,1.224984862,1.147268768,1.240937313,1.19203409,0.836912769,0.948354428,1.176696681,0.977760531,0.951387444,1.028329511,0.980681752,0.908840337,0.816297139
Mdh1,1,0.935729629,0.834183058,0.943980716,1.184220443,1.071855617,1.048356715,1.142121668,1.00106471,0.968475183,1.086866993,1.100662577,1.249937364,1.117195944,1.050195307,1.160984625,1.126239081,1.047828586,0.960669248,1.147522764,1.081910774,1.031322827,1.354928564,1.26991624,1.19411841,1.047039559,1.233693393,1.304433273,1.203329328,1.260719073,1.085046538,1.332987376,1.204179175,1.144402826,1.422055992,1.292860788,1.248114897,1.322992179,0.93750054,1.137068885,1.259856225,1.138479312,1.125594422,1.178692908,1.473540237,1.085162678,0.978916744
Mdh2,1,1.089493955,0.84269156,1.03357411,1.172773335,1.004326252,0.989346401,1.09100508,1.02046596,0.999502307,1.052605747,1.095296061,1.280398903,1.125863275,1.096141875,1.11491041,1.099633703,1.081964967,0.999468743,1.206929368,1.208555899,1.074489631,1.337070774,1.176042098,1.116667936,0.983929042,1.17810974,1.171504177,1.074979808,1.142727416,0.939617386,1.246225756,1.114040862,1.032217668,1.264347102,1.126405716,1.21562222,1.199425955,0.882541137,0.966528582,1.196950221,1.064049684,1.020190756,1.123877267,1.18460828,0.957609227,0.895922552
Glud1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
